name,genre,rating,country,company,isMajor,released,year,runtime,isLong,isShort,score,votes,star,director,budget,gross,budgetReturn
Stand by Me,Adventure,R,USA,Columbia Pictures Corporation,1,8/22/86,1986,89,0,0,8.1,299174,Wil Wheaton,Rob Reiner,8000000,52287414,6.53592675
Ferris Bueller's Day Off,Comedy,PG-13,USA,Paramount Pictures,1,6/11/86,1986,103,0,0,7.8,264740,Matthew Broderick,John Hughes,6000000,70136369,11.68939483
Top Gun,Action,PG,USA,Paramount Pictures,1,5/16/86,1986,110,0,0,6.9,236909,Tom Cruise,Tony Scott,15000000,179800601,11.98670673
Aliens,Action,R,USA,Twentieth Century Fox Film Corporation,1,7/18/86,1986,137,1,0,8.4,540152,Sigourney Weaver,James Cameron,18500000,85160248,4.603256649
Flight of the Navigator,Adventure,PG,USA,Walt Disney Pictures,1,8/1/86,1986,90,0,0,6.9,36636,Joey Cramer,Randal Kleiser,9000000,18564613,2.062734778
Platoon,Drama,R,UK,Hemdale,0,2/6/87,1986,120,0,0,8.1,317585,Charlie Sheen,Oliver Stone,6000000,138530565,23.0884275
Labyrinth,Adventure,PG,UK,Henson Associates (HA),0,6/27/86,1986,101,0,0,7.4,102879,David Bowie,Jim Henson,25000000,12729917,0.50919668
Blue Velvet,Drama,R,USA,De Laurentiis Entertainment Group (DEG),0,10/23/86,1986,120,0,0,7.8,146768,Isabella Rossellini,David Lynch,6000000,8551228,1.425204667
Pretty in Pink,Comedy,PG-13,USA,Paramount Pictures,1,2/28/86,1986,96,0,0,6.8,60565,Molly Ringwald,Howard Deutch,9000000,40471663,4.496851444
The Fly,Drama,R,USA,SLM Production Group,0,8/15/86,1986,96,0,0,7.5,129698,Jeff Goldblum,David Cronenberg,15000000,40456565,2.697104333
Crocodile Dundee,Adventure,PG-13,Australia,Rimfire Films,0,9/26/86,1986,97,0,0,6.5,79465,Paul Hogan,Peter Faiman,8800000,174635000,19.84488636
Highlander,Action,R,UK,Thorn EMI Screen Entertainment,0,3/7/86,1986,116,0,0,7.2,104860,Christopher Lambert,Russell Mulcahy,16000000,5900000,0.36875
Lucas,Comedy,PG-13,USA,Twentieth Century Fox Film Corporation,1,3/28/86,1986,100,0,0,6.8,12228,Corey Haim,David Seltzer,6000000,8200000,1.366666667
Big Trouble in Little China,Action,PG-13,USA,Twentieth Century Fox Film Corporation,1,7/2/86,1986,99,0,0,7.3,101678,Kurt Russell,John Carpenter,25000000,11100000,0.444
Manhunter,Crime,R,USA,De Laurentiis Entertainment Group (DEG),0,8/15/86,1986,120,0,0,7.2,54000,William Petersen,Michael Mann,15000000,8620929,0.5747286
9½ Weeks,Drama,R,USA,Producers Sales Organization (PSO),0,2/21/86,1986,117,0,0,5.9,31798,Mickey Rourke,Adrian Lyne,17000000,6734844,0.396167294
Maximum Overdrive,Action,R,USA,De Laurentiis Entertainment Group (DEG),0,7/25/86,1986,98,0,0,5.4,24881,Emilio Estevez,Stephen King,10000000,7433663,0.7433663
Little Shop of Horrors,Comedy,PG-13,USA,"Geffen Company, The",0,12/19/86,1986,94,0,0,6.9,53327,Rick Moranis,Frank Oz,25000000,38747385,1.5498954
The Wraith,Action,PG-13,USA,New Century Entertainment Corporation,0,11/21/86,1986,93,0,0,5.9,11635,Charlie Sheen,Mike Marvin,2700000,3500000,1.296296296
Howard the Duck,Action,PG,USA,Universal Pictures,1,8/1/86,1986,110,0,0,4.6,36020,Lea Thompson,Willard Huyck,35000000,16295774,0.465593543
Critters,Action,PG-13,USA,New Line Cinema,0,4/11/86,1986,82,0,0,6,25517,Dee Wallace,Stephen Herek,2000000,13167232,6.583616
Back to School,Comedy,PG-13,USA,Orion Pictures,0,6/13/86,1986,96,0,0,6.6,23120,Rodney Dangerfield,Alan Metter,11000000,91258000,8.296181818
The Texas Chainsaw Massacre 2,Comedy,UNRATED,USA,Cannon Films,0,8/22/86,1986,89,0,0,5.6,21253,Dennis Hopper,Tobe Hooper,4700000,8025872,1.70763234
Heartbreak Ridge,Action,R,USA,Jay Weston Productions,0,12/5/86,1986,130,1,0,6.8,32954,Clint Eastwood,Clint Eastwood,15000000,42724017,2.8482678
Star Trek IV: The Voyage Home,Adventure,PG,USA,Paramount Pictures,1,11/26/86,1986,119,0,0,7.3,66366,William Shatner,Leonard Nimoy,25000000,109713132,4.38852528
Short Circuit,Comedy,PG,USA,TriStar Pictures,0,5/9/86,1986,98,0,0,6.6,47068,Ally Sheedy,John Badham,0,40697761,inf
The Name of the Rose,Crime,R,Italy,Neue Constantin Film,0,9/24/86,1986,130,1,0,7.8,86991,Sean Connery,Jean-Jacques Annaud,0,7153487,inf
Iron Eagle,Action,PG-13,USA,TriStar Pictures,0,1/17/86,1986,117,0,0,5.3,11304,Louis Gossett Jr.,Sidney J. Furie,0,24159872,inf
The Golden Child,Action,PG-13,USA,Paramount Pictures,1,12/12/86,1986,94,0,0,5.9,42997,Eddie Murphy,Michael Ritchie,25000000,79817937,3.19271748
River's Edge,Crime,R,USA,Hemdale,0,5/8/87,1986,99,0,0,7.1,12862,Crispin Glover,Tim Hunter,1900000,4600000,2.421052632
¡Three Amigos!,Comedy,PG,USA,L.A. Films,0,12/12/86,1986,104,0,0,6.4,57406,Steve Martin,John Landis,25000000,39246734,1.56986936
